Talk/Reserved,prefers listening or not,Energized or drained,persuasion,personal involvement,label
Reserved,Yes,Drained,I don’t like persuasion,Low,Formal
Talkative,No,Energized,I like persuasion,High,Personal
Talkative,Yes,Energized,Am not fond but ok with persuasion,Medium,Moderate
Talkative,No,Drained,I don’t like persuasion,Medium,Moderate
Reserved,Yes,Energized,I don’t like persuasion,Low,Formal
Reserved,Yes,Energized,I like persuasion,Medium,Moderate
Talkative,No,Drained,Am not fond but ok with persuasion,Medium,Moderate
Talkative,No,Energized,I like persuasion,Medium,Personal
Reserved,Yes,Drained,I like persuasion,Medium,Moderate
Reserved,Yes,Drained,Am not fond but ok with persuasion,Medium,Moderate
Reserved,Yes,Drained,I don’t like persuasion,Medium,Moderate
Reserved,Yes,Drained,I don’t like persuasion,Low,Formal
Talkative,No,Energized,Am not fond but ok with persuasion,Medium,Moderate
Talkative,No,Energized,I don’t like persuasion,High,Moderate
Reserved,Yes,Drained,I don’t like persuasion,Low,Formal
Talkative,No,Energized,I don’t like persuasion,Medium,Moderate
Talkative,Yes,Drained,I like persuasion,Medium,Moderate
Reserved,Yes,Energized,I like persuasion,Medium,Moderate
Reserved,Yes,Energized,I like persuasion,High,Personal
Talkative,No,Energized,I like persuasion,High,Personal
Talkative,Yes,Drained,Am not fond but ok with persuasion,Medium,Moderate
Talkative,No,Energized,I like persuasion,High,Personal
Reserved,Yes,Drained,Am not fond but ok with persuasion,Medium,Moderate
Reserved,Yes,Drained,I don’t like persuasion,Medium,Formal
Talkative,No,Energized,Am not fond but ok with persuasion,High,Personal
Talkative,No,Energized,I don’t like persuasion,Low,Formal
Talkative,No,Energized,Am not fond but ok with persuasion,High,Personal